symbol
THYAO.IS
ASELS.IS
KCHOL.IS
SISE.IS
TUPRS.IS
AKBNK.IS
GARAN.IS
YKBNK.IS
ISCTR.IS
SAHOL.IS
SASA.IS
HEKTS.IS
EREGL.IS
KRDMD.IS
BIMAS.IS
FROTO.IS
TOASO.IS
DOAS.IS
KONTR.IS
ASTOR.IS
PASEU.IS
ALARK.IS
ENKAI.IS
PETKM.IS
KOZAL.IS
PGSUS.IS
TAVHL.IS
TCELL.IS
TTKOM.IS
OYAKC.IS
GUBRF.IS
ODAS.IS
CANTE.IS
SMRTG.IS
GESAN.IS
KCAER.IS
CWENE.IS
MIATK.IS
EUPWR.IS
QUAGR.IS
AGHOL.IS
AKSA.IS
AKSEN.IS
ARCLK.IS
BRSAN.IS
CCOLA.IS
CIMSA.IS
ECILC.IS
EFORC.IS
ENJSA.IS
ENERY.IS
EUREN.IS
HALKB.IS
ISMEN.IS
IZENR.IS
MAVI.IS
MGROS.IS
MPARK.IS
OTKAR.IS
RALYH.IS
REEDR.IS
SKBNK.IS
SOKM.IS
TABGD.IS
ULKER.IS
VAKBN.IS
VESTL.IS
ZOREN.IS
